dataset,student,depth,k,threshold,n_shared,wrong_to_right,right_to_wrong,kept_right,kept_wrong,rate_wrong_to_right,rate_right_to_wrong,utility,baseline_accuracy,condition_accuracy,delta_accuracy,accuracy,accuracy_answered,mean_retrieved,pct_fallback_baseline,mcnemar_p
logiqa2,llama3-8b,simple,3,0.53,300,31,34,131,104,0.1033,0.1133,-0.01,0.55,0.54,-0.01,0.54,0.5436,2.993333333333333,0.0,0.8043170001933984
logiqa2,llama3-8b,simple,3,0.65,300,22,28,137,113,0.0733,0.0933,-0.02,0.55,0.53,-0.02,0.53,0.5354,1.6866666666666668,0.26666666666666666,0.47988766169832786
logiqa2,llama3-8b,simple,3,0.67,300,21,18,147,114,0.07,0.06,0.01,0.55,0.56,0.01,0.56,0.56,1.1133333333333333,0.48333333333333334,0.7492586247608418
logiqa2,llama3-8b,simple,3,0.7,300,17,10,155,118,0.0567,0.0333,0.0233,0.55,0.5733,0.0233,0.5733,0.5753,0.45,0.7366666666666667,0.24778856337070465
logiqa2,llama3-8b,complex,1,0.0,300,34,35,130,101,0.1133,0.1167,-0.0033,0.55,0.5467,-0.0033,0.5467,0.5503,1.0,0.0,1.0
logiqa2,llama3-8b,complex,1,0.53,300,33,35,130,102,0.11,0.1167,-0.0067,0.55,0.5433,-0.0067,0.5433,0.547,1.0,0.0,0.9035973456835127
logiqa2,llama3-8b,complex,1,0.65,300,28,31,134,107,0.0933,0.1033,-0.01,0.55,0.54,-0.01,0.54,0.5418,0.7333333333333333,0.26666666666666666,0.794843653982861
logiqa2,llama3-8b,complex,1,0.67,300,22,18,147,113,0.0733,0.06,0.0133,0.55,0.5633,0.0133,0.5633,0.5671,0.5166666666666667,0.48333333333333334,0.6358280026288412
logiqa2,llama3-8b,complex,1,0.7,300,14,12,153,121,0.0467,0.04,0.0067,0.55,0.5567,0.0067,0.5567,0.5585,0.2633333333333333,0.7366666666666667,0.8450189828872681
logiqa2,llama3-8b,complex,2,0.0,300,24,35,130,111,0.08,0.1167,-0.0367,0.55,0.5133,-0.0367,0.5133,0.5151,2.0,0.0,0.19252645776146274
logiqa2,llama3-8b,complex,2,0.53,300,24,38,127,111,0.08,0.1267,-0.0467,0.55,0.5033,-0.0467,0.5033,0.5067,2.0,0.0,0.09795444051950736
logiqa2,llama3-8b,complex,2,0.65,300,22,29,136,113,0.0733,0.0967,-0.0233,0.55,0.5267,-0.0233,0.5267,0.5284,1.27,0.26666666666666666,0.4010619910279374
logiqa2,llama3-8b,complex,2,0.67,300,15,21,144,120,0.05,0.07,-0.02,0.55,0.53,-0.02,0.53,0.5318,0.8566666666666667,0.48333333333333334,0.4050322461407632
logiqa2,llama3-8b,complex,2,0.7,300,17,14,151,118,0.0567,0.0467,0.01,0.55,0.56,0.01,0.56,0.5619,0.39666666666666667,0.7366666666666667,0.720100131817162
logiqa2,llama3-8b,complex,3,0.0,300,30,45,120,105,0.1,0.15,-0.05,0.55,0.5,-0.05,0.5,0.5034,3.0,0.0,0.10534226887460482
logiqa2,llama3-8b,complex,3,0.53,300,32,42,123,103,0.1067,0.14,-0.0333,0.55,0.5167,-0.0333,0.5167,0.5184,2.993333333333333,0.0,0.29541328065567
logiqa2,llama3-8b,complex,3,0.65,300,24,26,139,111,0.08,0.0867,-0.0067,0.55,0.5433,-0.0067,0.5433,0.5433,1.6866666666666668,0.26666666666666666,0.887724827340783
logiqa2,llama3-8b,complex,3,0.67,300,20,20,145,115,0.0667,0.0667,0.0,0.55,0.55,0.0,0.55,0.5518,1.1133333333333333,0.48333333333333334,1.0
logiqa2,llama3-8b,complex,3,0.7,300,14,14,151,121,0.0467,0.0467,0.0,0.55,0.55,0.0,0.55,0.5518,0.45,0.7366666666666667,1.0
